consumption,interval_start,interval_end
0.032,2021-01-12T23:00:00Z,2021-01-12T23:30:00Z
0.033,2021-01-12T22:30:00Z,2021-01-12T23:00:00Z
0.032,2021-01-12T22:00:00Z,2021-01-12T22:30:00Z
0.033,2021-01-12T21:30:00Z,2021-01-12T22:00:00Z
0.135,2021-01-12T21:00:00Z,2021-01-12T21:30:00Z
0.6,2021-01-12T20:30:00Z,2021-01-12T21:00:00Z
0.603,2021-01-12T20:00:00Z,2021-01-12T20:30:00Z
0.25,2021-01-12T19:30:00Z,2021-01-12T20:00:00Z
0.754,2021-01-12T19:00:00Z,2021-01-12T19:30:00Z
0.129,2021-01-12T18:30:00Z,2021-01-12T19:00:00Z
0.15,2021-01-12T18:00:00Z,2021-01-12T18:30:00Z
0.096,2021-01-12T17:30:00Z,2021-01-12T18:00:00Z
0.093,2021-01-12T17:00:00Z,2021-01-12T17:30:00Z
0.099,2021-01-12T16:30:00Z,2021-01-12T17:00:00Z
0.079,2021-01-12T16:00:00Z,2021-01-12T16:30:00Z
0.091,2021-01-12T15:30:00Z,2021-01-12T16:00:00Z
1.134,2021-01-12T15:00:00Z,2021-01-12T15:30:00Z
0.394,2021-01-12T14:30:00Z,2021-01-12T15:00:00Z
0.092,2021-01-12T14:00:00Z,2021-01-12T14:30:00Z
0.11,2021-01-12T13:30:00Z,2021-01-12T14:00:00Z
0.329,2021-01-12T13:00:00Z,2021-01-12T13:30:00Z
0.684,2021-01-12T12:30:00Z,2021-01-12T13:00:00Z
0.212,2021-01-12T12:00:00Z,2021-01-12T12:30:00Z
0.1,2021-01-12T11:30:00Z,2021-01-12T12:00:00Z
0.108,2021-01-12T11:00:00Z,2021-01-12T11:30:00Z
0.16,2021-01-12T10:30:00Z,2021-01-12T11:00:00Z
0.097,2021-01-12T10:00:00Z,2021-01-12T10:30:00Z
0.084,2021-01-12T09:30:00Z,2021-01-12T10:00:00Z
0.147,2021-01-12T09:00:00Z,2021-01-12T09:30:00Z
0.117,2021-01-12T08:30:00Z,2021-01-12T09:00:00Z
0.173,2021-01-12T08:00:00Z,2021-01-12T08:30:00Z
0.459,2021-01-12T07:30:00Z,2021-01-12T08:00:00Z
0.206,2021-01-12T07:00:00Z,2021-01-12T07:30:00Z
0.198,2021-01-12T06:30:00Z,2021-01-12T07:00:00Z
0.029,2021-01-12T06:00:00Z,2021-01-12T06:30:00Z
0.69,2021-01-12T05:30:00Z,2021-01-12T06:00:00Z
1.087,2021-01-12T05:00:00Z,2021-01-12T05:30:00Z
0.947,2021-01-12T04:30:00Z,2021-01-12T05:00:00Z
1.285,2021-01-12T04:00:00Z,2021-01-12T04:30:00Z
0.341,2021-01-12T03:30:00Z,2021-01-12T04:00:00Z
0.31,2021-01-12T03:00:00Z,2021-01-12T03:30:00Z
1.034,2021-01-12T02:30:00Z,2021-01-12T03:00:00Z
1.341,2021-01-12T02:00:00Z,2021-01-12T02:30:00Z
0.035,2021-01-12T01:30:00Z,2021-01-12T02:00:00Z
0.031,2021-01-12T01:00:00Z,2021-01-12T01:30:00Z
0.032,2021-01-12T00:30:00Z,2021-01-12T01:00:00Z
